Classification	Tweet	id
Infection	@JackkJazz @gehapeters Just tried out the NHS 111 web site. Said yes to the Coronavirus symptoms but said hadn't been abroad or met anyone who had it. ...see response below. https://t.co/aPRYbmw81M	1237835598808956928
Infection	CHURCH IS CANCELLED IN UTAH AND THREE PEOPLE HAVE CORONA THREE AREN'T YOU SUPPOSED TO BE ABLE TO CURE THE SICK?!!?!	1238390224931020800
Awareness	I have a theory... As #COVID19 shows no symptoms for up to two weeks and countries are only closing schools and imposing quarantines after the virus has spread far and wide. They are deliberately allowing masses to become infected as only the elderly, sick and infirm are at risk.	1237325778846724096
Awareness	The worst part about living in the middle of nowhere is all the idiots who share the “you know how we got sick 4 months ago!? It was corona” posts.	1239154227953446914
Awareness	@denverpost Questions 1 Once a person has tested positive for Coronavirus and recovers are they then immune or can they get sick with it again?  2 If they are immune could we, they, volunteer to assist hospitals nursing homes etc., with care and perhaps reduce the fatigue of regular staff?	1238275218654654469
Infection	@lightsupbrock we were planning on going to murrays tmr but since Monday Chris got sick w a stomach bug and he’s getting worse he doesn’t have corona but his immune system is rlly weak	1235702229698560001
Awareness	I hate the media... making coronavirus out to be way worse then it actually is... the FLU kills more people then what coronavirus will in a year and the mortality rate is 0.2% for young adults... only thing we would get is cold/flu symptoms nothing worse, STUPID #coronavirus	1235367371965108225
Infection	Oh sick guys the person with the Coronavirus in my parish is at the hospital down the street to my school 💀	1237724579080126464
Awareness	What are the symptoms of #COVID19 and what should you do if you feel unwell? Symptoms are similar to the common cold or influenza. Stay home if you’re sick to limit transmission whether that be for #coronavirus or other infections. https://t.co/Y5ycrDD9ua	1233483312070635522
Awareness	@zegirish Yes, a different strain of Coronavirus with coronal symptoms competing with respiratory.	1237431217948995584
Awareness	.@rosadelauro and @PattyMurray have introduced #paidsickdays legislation along the right lines, including 14 days for use during a public health emergency as well as seven days for more run-of-the-mill purposes. https://t.co/QaPq1k1cPy	1237096299750666241
Awareness	No Rest for the Sick: #Coronavirus Disinformation from Chinese Users Targets #Taiwan by @TheNickMon https://t.co/UH2cx05YHN	1235958973666189312
Infection	Feb 15 I got extremely sick with a type of bronchial pneumonia. In bed for 2 weeks. Twice went to walk in ER for drugs. I’m still recovering but finally out of bedrest. maybe I am one of those unreported un tested coronavirus folks. #TrumpVirus	1237017474308112385
Awareness	Not having paid sick leave is going to contribute to the spread of #coronavirus. I used to work for minimum wage in the food industry. We weren't given sick time, so we'd come to work sick. Colds would travel around the deli. I can only imagine how many customers we infected.	1237181280896405508
Awareness	Common sense precautions on the Corona Virus courtesy of The London Guardian @gwps_cp @ShelldaleFG @GuelphCHC https://t.co/WQkhz6PUPW	1235933081703518214
Infection	one of my friends got sick with pneumonia at the EXACT same time a coronavirus case was confirmed in my county...coincidence? i think not	1237228456460595200
Awareness	🚨🚨🚨 This is bad. Quarantined sick nurse being denied a coronavirus test by the CDC.  Told she has to wait in line... https://t.co/Gwd9s5qoee	1235692513677193217
Infection	My cousin is a doctor got in contact with someone who tested positive for corona virus and now she has flu symptoms 🙃	1239690037177905153
Awareness	Hate to say it but containing #COVID19 means this👇🏼 needs to change from "stay home if sick" to "stay home". Period.  "If sick" = too late. https://t.co/N1twKpI6Uw	1237417305522438145
Infection	On February 10, three Chinese nationals were apprehended illegally entering Texas with flu-like symptoms, and had to be quarantined.   "Luckily they did not have the coronavirus," he said.   "But this is a wake-up call." https://t.co/SiKGivh70O	1233498581740457986
Awareness	I made mention of this yesterday. Trump could be a super Spreader and not know because of his refusal to test.  It's important for all to remember that if you are in contact with a Covid19 patient, get tested regardless of symptoms.He's finally testing 👍 https://t.co/8a5UGhiSNw	1238880839922003968
Awareness	"A much-needed sick-note for small firms'- read our analysis of Rishi Sunak's #Budget2020 and the surprise policies he's introducing to help British business weather the #coronavirus storm https://t.co/XyXlmWSAR2 #smallbusiness #startups	1238039952564330497
Infection	@shirtlessjay Hope you feel better. You have Covid19 symptoms?	1239164656616341507
Awareness	'The 911 folks are ready should things actually escalate': Butler County dispatchers launch coronavirus screening program for 911 callers. https://t.co/QT2XkSDhmM	1233613763397529600
Awareness	This new screening helps you understand if the symptoms you have are likely to be the coronavirus or not. https://t.co/SPbx8Tv2Dj	1236822763182096385
Awareness	In the middle of the #Coronavirus crisis, it's a matter of urgency that @Amazon, @Deliveroo and others finally allow their employees paid sick leave. Sign the emergency petition to them NOW https://t.co/fKWpNkT9Rp	1237900971826700288
Awareness	i am appalled with the misinformation on social media!! this is actually the cure for blazers fans coping with symptoms of the current season ... NOT coronavirus !! https://t.co/0daiCgFitd	1237157649969528833
Infection	@pulte I'm in. The coronavirus is scary to people like my sister and I who have weak immune systems and get sick easily.	1234226162647236608
Awareness	There is NO herd immunity to protect #Antivaxers. What will happen when their loved ones get sick or die from #COVID19US #Coronavirus. Will they change their minds? God gave us brains for science and reason. 🙏 that people wake up.	1235665644521218051
Awareness	@realDonaldTrump STOP MINIMIZING CORONAVIRUS. The potential (get it - in a few weeks) IS FAR WORSE THAN "THE FLU".  TAKE ACTION TO STOP SPREAD NOW GET TESTING NOW INFORM PEOPLE OF SYMPTOMS GET PEOPLE TO SELF MONITOR DAILY GET PEOPLE TO SELF-QUARANTINE IF SICK SUPPORT THOSE w/o RESOURCES  NOW.	1237048397808275460
Infection	Angela Sheffield, NBCT, a veteran teacher gave her perspective on addressing #COVIDー19 #NBCTstrong https://t.co/aKXopPyo1Y	1237067475046498306
Awareness	Uber and Lyft say they will begin offering their drivers up to 14 days of paid sick leave if they come down with coronavirus or are quarantined because of the illness https://t.co/uzOTXknaFC	1237777393764499457
Infection	I had wanted to go on one of those Viking River Cruises for my 50th bday and then when I got really sick last year those plans fell through. I was very bummed about it but seeing all that's going on with the 'Rona I wouldn't have been able to go anyway. #coronavirus	1237066151676407808
Awareness	The novel coronavirus can infect anyone, but it's older adults — ages 60 and up — who are more likely to get seriously sick from it.​ https://t.co/UOeuJMxkSz	1238239752844988417
Infection	When I say I was ready to buy my casket and lay in it I’m not joking. I’m convinced I had the coronavirus last year. It was unexplainable. Fluid around my lungs, pain that was indescribable, fever, horrible cough sore throat FUCKING ALL OF IT! My husband is a tank. Never sick.	1239903523212574721
Awareness	Coronavirus Shocker: Patients Die In Hours Without Showing Symptoms https://t.co/UErdFpi7zB	1238310066681511936
